orderID,productID,unitPrice,quantity,discount,productName,quantityPerUnit,categoryID,discontinued,categoryName,category_description,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight,customer_company,customer_contact,customer_title,customer_city,customer_country,employee_name,employee_title,employee_city,employee_country,reports_to,shipper_name,line_total,order_year,order_month,order_quarter,ship_delay_days,is_shipped
10248,11,14.0,12,0.0,Queso Cabrales,1 kg pkg.,4,False,Dairy Products,Cheeses,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2,Federal Shipping,168.0,2013,7,3,12.0,True
10248,42,9.8,10,0.0,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,5,True,Grains & Cereals,"Breads, crackers, pasta, and cereal",VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2,Federal Shipping,98.0,2013,7,3,12.0,True
10248,72,34.8,5,0.0,Mozzarella di Giovanni,24 - 200 g pkgs.,4,False,Dairy Products,Cheeses,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2,Federal Shipping,174.0,2013,7,3,12.0,True
10249,14,18.6,9,0.0,Tofu,40 - 100 g pkgs.,7,False,Produce,Dried fruit and bean curd,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,London,UK,5,Speedy Express,167.4,2013,7,3,5.0,True
10249,51,42.4,40,0.0,Manjimup Dried Apples,50 - 300 g pkgs.,7,False,Produce,Dried fruit and bean curd,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,London,UK,5,Speedy Express,1696.0,2013,7,3,5.0,True
10250,41,7.7,10,0.0,Jack's New England Clam Chowder,12 - 12 oz cans,8,False,Seafood,Seaweed and fish,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8,United Package,77.0,2013,7,3,4.0,True
10250,51,42.4,35,0.15,Manjimup Dried Apples,50 - 300 g pkgs.,7,False,Produce,Dried fruit and bean curd,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8,United Package,1261.4,2013,7,3,4.0,True
10250,65,16.8,15,0.15,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,2,False,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8,United Package,214.2,2013,7,3,4.0,True
10251,22,16.8,6,0.05,Gustaf's Knackebröd,24 - 500 g pkgs.,5,False,Grains & Cereals,"Breads, crackers, pasta, and cereal",VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8,Speedy Express,95.76,2013,7,3,7.0,True
10251,57,15.6,15,0.05,Ravioli Angelo,24 - 250 g pkgs.,5,False,Grains & Cereals,"Breads, crackers, pasta, and cereal",VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8,Speedy Express,222.3,2013,7,3,7.0,True
