orderID,orderDate,order_year,order_month,order_quarter,requiredDate,shippedDate,ship_delay_days,freight,productID,productName,quantityPerUnit,categoryID,categoryName,category_description,discontinued,unitPrice,quantity,discount,line_total,customerID,customer_company,customer_contact,customer_title,customer_city,customer_country,employeeID,employee_name,employee_title,employee_city,employee_country,reports_to,shipperID,shipper_name
10248,2013-07-04,2013,7,3,2013-08-01,2013-07-16,12.0,32.38,11,Queso Cabrales,1 kg pkg.,4,Dairy Products,Cheeses,0,14.0,12,0.0,168.0,VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,5,Steven Buchanan,Sales Manager,London,UK,2.0,3,Federal Shipping
10248,2013-07-04,2013,7,3,2013-08-01,2013-07-16,12.0,32.38,42,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",1,9.8,10,0.0,98.0,VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,5,Steven Buchanan,Sales Manager,London,UK,2.0,3,Federal Shipping
10248,2013-07-04,2013,7,3,2013-08-01,2013-07-16,12.0,32.38,72,Mozzarella di Giovanni,24 - 200 g pkgs.,4,Dairy Products,Cheeses,0,34.8,5,0.0,174.0,VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,5,Steven Buchanan,Sales Manager,London,UK,2.0,3,Federal Shipping
10249,2013-07-05,2013,7,3,2013-08-16,2013-07-10,5.0,11.61,14,Tofu,40 - 100 g pkgs.,7,Produce,Dried fruit and bean curd,0,18.6,9,0.0,167.4,TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,6,Michael Suyama,Sales Representative,London,UK,5.0,1,Speedy Express
10249,2013-07-05,2013,7,3,2013-08-16,2013-07-10,5.0,11.61,51,Manjimup Dried Apples,50 - 300 g pkgs.,7,Produce,Dried fruit and bean curd,0,42.4,40,0.0,1696.0,TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,6,Michael Suyama,Sales Representative,London,UK,5.0,1,Speedy Express
10250,2013-07-08,2013,7,3,2013-08-05,2013-07-12,4.0,65.83,41,Jack's New England Clam Chowder,12 - 12 oz cans,8,Seafood,Seaweed and fish,0,7.7,10,0.0,77.0,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,4,Margaret Peacock,Sales Representative,New York,USA,8.0,2,United Package
10250,2013-07-08,2013,7,3,2013-08-05,2013-07-12,4.0,65.83,51,Manjimup Dried Apples,50 - 300 g pkgs.,7,Produce,Dried fruit and bean curd,0,42.4,35,0.15,1261.3999999999999,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,4,Margaret Peacock,Sales Representative,New York,USA,8.0,2,United Package
10250,2013-07-08,2013,7,3,2013-08-05,2013-07-12,4.0,65.83,65,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",0,16.8,15,0.15,214.2,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,4,Margaret Peacock,Sales Representative,New York,USA,8.0,2,United Package
10251,2013-07-08,2013,7,3,2013-08-05,2013-07-15,7.0,41.34,22,Gustaf's Knackebröd,24 - 500 g pkgs.,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",0,16.8,6,0.05,95.76,VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,3,Janet Leverling,Sales Representative,New York,USA,8.0,1,Speedy Express
10251,2013-07-08,2013,7,3,2013-08-05,2013-07-15,7.0,41.34,57,Ravioli Angelo,24 - 250 g pkgs.,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",0,15.6,15,0.05,222.29999999999998,VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,3,Janet Leverling,Sales Representative,New York,USA,8.0,1,Speedy Express
10251,2013-07-08,2013,7,3,2013-08-05,2013-07-15,7.0,41.34,65,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",0,16.8,20,0.0,336.0,VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,3,Janet Leverling,Sales Representative,New York,USA,8.0,1,Speedy Express
10252,2013-07-09,2013,7,3,2013-08-06,2013-07-11,2.0,51.3,20,Sir Rodney's Marmalade,30 gift boxes,3,Confections,"Desserts, candies, and sweet breads",0,64.8,40,0.05,2462.4,SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,4,Margaret Peacock,Sales Representative,New York,USA,8.0,2,United Package
10252,2013-07-09,2013,7,3,2013-08-06,2013-07-11,2.0,51.3,33,Geitost,500 g,4,Dairy Products,Cheeses,0,2.0,25,0.05,47.5,SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,4,Margaret Peacock,Sales Representative,New York,USA,8.0,2,United Package
10252,2013-07-09,2013,7,3,2013-08-06,2013-07-11,2.0,51.3,60,Camembert Pierrot,15 - 300 g rounds,4,Dairy Products,Cheeses,0,27.2,40,0.0,1088.0,SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,4,Margaret Peacock,Sales Representative,New York,USA,8.0,2,United Package
10253,2013-07-10,2013,7,3,2013-07-24,2013-07-16,6.0,58.17,31,Gorgonzola Telino,12 - 100 g pkgs,4,Dairy Products,Cheeses,0,10.0,20,0.0,200.0,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,3,Janet Leverling,Sales Representative,New York,USA,8.0,2,United Package
10253,2013-07-10,2013,7,3,2013-07-24,2013-07-16,6.0,58.17,39,Chartreuse verte,750 cc per bottle,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",0,14.4,42,0.0,604.8000000000001,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,3,Janet Leverling,Sales Representative,New York,USA,8.0,2,United Package
10253,2013-07-10,2013,7,3,2013-07-24,2013-07-16,6.0,58.17,49,Maxilaku,24 - 50 g pkgs.,3,Confections,"Desserts, candies, and sweet breads",0,16.0,40,0.0,640.0,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,3,Janet Leverling,Sales Representative,New York,USA,8.0,2,United Package
10254,2013-07-11,2013,7,3,2013-08-08,2013-07-23,12.0,22.98,24,Guarana Fantastica,12 - 355 ml cans,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",1,3.6,15,0.15,45.9,CHOPS,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,5,Steven Buchanan,Sales Manager,London,UK,2.0,2,United Package
10254,2013-07-11,2013,7,3,2013-08-08,2013-07-23,12.0,22.98,55,Pâté chinois,24 boxes x 2 pies,6,Meat & Poultry,Prepared meats,0,19.2,21,0.15,342.71999999999997,CHOPS,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,5,Steven Buchanan,Sales Manager,London,UK,2.0,2,United Package
10254,2013-07-11,2013,7,3,2013-08-08,2013-07-23,12.0,22.98,74,Longlife Tofu,5 kg pkg.,7,Produce,Dried fruit and bean curd,0,8.0,21,0.0,168.0,CHOPS,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,5,Steven Buchanan,Sales Manager,London,UK,2.0,2,United Package
10255,2013-07-12,2013,7,3,2013-08-09,2013-07-15,3.0,148.33,2,Chang,24 - 12 oz bottles,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",0,15.2,20,0.0,304.0,RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,9,Anne Dodsworth,Sales Representative,London,UK,5.0,3,Federal Shipping
10255,2013-07-12,2013,7,3,2013-08-09,2013-07-15,3.0,148.33,16,Pavlova,32 - 500 g boxes,3,Confections,"Desserts, candies, and sweet breads",0,13.9,35,0.0,486.5,RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,9,Anne Dodsworth,Sales Representative,London,UK,5.0,3,Federal Shipping
10255,2013-07-12,2013,7,3,2013-08-09,2013-07-15,3.0,148.33,36,Inlagd Sill,24 - 250 g  jars,8,Seafood,Seaweed and fish,0,15.2,25,0.0,380.0,RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,9,Anne Dodsworth,Sales Representative,London,UK,5.0,3,Federal Shipping
10255,2013-07-12,2013,7,3,2013-08-09,2013-07-15,3.0,148.33,59,Raclette Courdavault,5 kg pkg.,4,Dairy Products,Cheeses,0,44.0,30,0.0,1320.0,RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,9,Anne Dodsworth,Sales Representative,London,UK,5.0,3,Federal Shipping
10256,2013-07-15,2013,7,3,2013-08-12,2013-07-17,2.0,13.97,53,Perth Pasties,48 pieces,6,Meat & Poultry,Prepared meats,1,26.2,15,0.0,393.0,WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,3,Janet Leverling,Sales Representative,New York,USA,8.0,2,United Package
10256,2013-07-15,2013,7,3,2013-08-12,2013-07-17,2.0,13.97,77,Original Frankfurter Grüne Soße,12 boxes,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",0,10.4,12,0.0,124.80000000000001,WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,3,Janet Leverling,Sales Representative,New York,USA,8.0,2,United Package
10257,2013-07-16,2013,7,3,2013-08-13,2013-07-22,6.0,81.91,27,Schoggi Schokolade,100 - 100 g pieces,3,Confections,"Desserts, candies, and sweet breads",0,35.1,25,0.0,877.5,HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,4,Margaret Peacock,Sales Representative,New York,USA,8.0,3,Federal Shipping
10257,2013-07-16,2013,7,3,2013-08-13,2013-07-22,6.0,81.91,39,Chartreuse verte,750 cc per bottle,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",0,14.4,6,0.0,86.4,HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,4,Margaret Peacock,Sales Representative,New York,USA,8.0,3,Federal Shipping
10257,2013-07-16,2013,7,3,2013-08-13,2013-07-22,6.0,81.91,77,Original Frankfurter Grüne Soße,12 boxes,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",0,10.4,15,0.0,156.0,HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,4,Margaret Peacock,Sales Representative,New York,USA,8.0,3,Federal Shipping
10258,2013-07-17,2013,7,3,2013-08-14,2013-07-23,6.0,140.51,2,Chang,24 - 12 oz bottles,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",0,15.2,50,0.2,608.0,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,1,Nancy Davolio,Sales Representative,New York,USA,8.0,1,Speedy Express
10258,2013-07-17,2013,7,3,2013-08-14,2013-07-23,6.0,140.51,5,Chef Anton's Gumbo Mix,36 boxes,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",1,17.0,65,0.2,884.0,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,1,Nancy Davolio,Sales Representative,New York,USA,8.0,1,Speedy Express
10258,2013-07-17,2013,7,3,2013-08-14,2013-07-23,6.0,140.51,32,Mascarpone Fabioli,24 - 200 g pkgs.,4,Dairy Products,Cheeses,0,25.6,6,0.2,122.88000000000002,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,1,Nancy Davolio,Sales Representative,New York,USA,8.0,1,Speedy Express
10259,2013-07-18,2013,7,3,2013-08-15,2013-07-25,7.0,3.25,21,Sir Rodney's Scones,24 pkgs. x 4 pieces,3,Confections,"Desserts, candies, and sweet breads",0,8.0,10,0.0,80.0,CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico,4,Margaret Peacock,Sales Representative,New York,USA,8.0,3,Federal Shipping
